Event,Name,Donation Made To,Date,Value
2025 Federal Election,Fairfax Matters,"WIIG, Francine Clare",21/10/2024,3154
2025 Federal Election,Fairfax Matters,"WIIG, Francine Clare",13/12/2024,405
2025 Federal Election,Fairfax Matters,"WIIG, Francine Clare",23/01/2025,19410
2025 Federal Election,Fairfax Matters,"WIIG, Francine Clare",4/02/2025,2000
2025 Federal Election,Fairfax Matters,"WIIG, Francine Clare",19/02/2025,282
2025 Federal Election,Fairfax Matters,"WIIG, Francine Clare",31/03/2025,270
2025 Federal Election,Future Blue Australia Ptd Ltd,"WIIG, Francine Clare",17/02/2025,25000
2025 Federal Election,"Gee, Melva","GEE, Andrew Robert",31/12/2024,1100
2025 Federal Election,"Gee, Melva","GEE, Andrew Robert",21/02/2025,5573
2025 Federal Election,"Gee, Melva","GEE, Andrew Robert",12/04/2025,10000
2025 Federal Election,"Gee, Melva","GEE, Andrew Robert",22/04/2025,10000
2025 Federal Election,"Goodacre, John","CHANEY, Katherine Ella",12/08/2024,10000
2025 Federal Election,"Goodacre, John","CHANEY, Katherine Ella",4/03/2025,10000
2025 Federal Election,Green Energy Trading Pty Ltd,"RYAN, Monique Marie",20/09/2024,30000
2025 Federal Election,Green Energy Trading Pty Ltd,"RYAN, Monique Marie",16/10/2024,40000
2025 Federal Election,"Grugeon, Hilton","GEE, Andrew Robert",14/03/2025,20000
2025 Federal Election,"Hargrave, Ruth Elizabeth","RYAN, Monique Marie",18/11/2024,5000
2025 Federal Election,"Hargrave, Ruth Elizabeth","RYAN, Monique Marie",22/01/2025,250
2025 Federal Election,"Hargrave, Ruth Elizabeth","RYAN, Monique Marie",28/03/2025,15000
2025 Federal Election,"Hargrave, Ruth Elizabeth","RYAN, Monique Marie",7/04/2025,10000
2025 Federal Election,"Harris, Lois","SPENDER, Allegra May",10/02/2025,20000
2025 Federal Election,"Hempton, John","SCAMPS, Sophie Anna",28/10/2024,10000
2025 Federal Election,"Hempton, John","SCAMPS, Sophie Anna",17/02/2025,20500
2025 Federal Election,"Hill, Stephen","DANIEL, Zoe",4/07/2024,10000
2025 Federal Election,"Hill, Stephen","DANIEL, Zoe",24/04/2025,20000
2025 Federal Election,"Hill, Stephen","RYAN, Monique Marie",27/04/2025,20000
2025 Federal Election,"Holmes a Court, Janet","CHANEY, Katherine Ella",2/08/2024,2500
2025 Federal Election,"Holmes a Court, Janet","CHANEY, Katherine Ella",13/12/2024,15000
2025 Federal Election,"Horin, Roslyn","SPENDER, Allegra May",5/12/2024,25000
2025 Federal Election,Josseck Pty Ltd,"HEISE, Carolyn Gai",9/12/2024,25000
2025 Federal Election,Josseck Pty Ltd,"CHANEY, Katherine Ella",16/02/2025,25000
2025 Federal Election,Josseck Pty Ltd,"HAINES, Helen Mary",14/04/2025,18000
2025 Federal Election,Keep Them Honest Pty Ltd,"DANIEL, Zoe",17/09/2024,16000
2025 Federal Election,Keep Them Honest Pty Ltd,"HEISE, Carolyn Gai",1/12/2024,50000
2025 Federal Election,Keep Them Honest Pty Ltd,"SPENDER, Allegra May",5/12/2024,50000
2025 Federal Election,Keep Them Honest Pty Ltd,"RYAN, Monique Marie",9/12/2024,50000
2025 Federal Election,Keep Them Honest Pty Ltd,"CHANEY, Katherine Ella",11/12/2024,50000
2025 Federal Election,Keep Them Honest Pty Ltd,"SCAMPS, Sophie Anna",19/12/2024,50000
2025 Federal Election,Keep Them Honest Pty Ltd,"DANIEL, Zoe",21/12/2024,50000
2025 Federal Election,Keep Them Honest Pty Ltd,"STEGGALL, Zali",22/12/2024,50000
2025 Federal Election,Keep Them Honest Pty Ltd,"DYSON, Alexander Edward",22/01/2025,50000
2025 Federal Election,Keep Them Honest Pty Ltd,"LEONARD, Deborah Louise",3/02/2025,16900
2025 Federal Election,Keep Them Honest Pty Ltd,"SMITH, Benjamin John",7/02/2025,5000
2025 Federal Election,Keep Them Honest Pty Ltd,"SMITH, Benjamin John",8/02/2025,11900
2025 Federal Election,Keep Them Honest Pty Ltd,"CHANEY, Katherine Ella",18/02/2025,25000
2025 Federal Election,Keep Them Honest Pty Ltd,"SMITH, Benjamin John",29/03/2025,33100
2025 Federal Election,Keep Them Honest Pty Ltd,"DYSON, Alexander Edward",30/03/2025,25000
2025 Federal Election,Keep Them Honest Pty Ltd,"HEISE, Carolyn Gai",31/03/2025,25000
2025 Federal Election,Keep Them Honest Pty Ltd,"LEONARD, Deborah Louise",9/04/2025,33100
2025 Federal Election,Keldoulis Investments Pty Limited,"MURRAY-BARTLETT, Erchana",12/11/2024,75000
2025 Federal Election,Keldoulis Investments Pty Limited,"SPENDER, Allegra May",18/11/2024,100000
2025 Federal Election,Keldoulis Investments Pty Limited,"HEISE, Carolyn Gai",3/12/2024,50000
2025 Federal Election,Keldoulis Investments Pty Limited,"HEISE, Carolyn Gai",3/12/2024,50000
2025 Federal Election,Keldoulis Investments Pty Limited,"DYSON, Alexander Edward",23/12/2024,50000
2025 Federal Election,Keldoulis Investments Pty Limited,"HEISE, Carolyn Gai",23/12/2024,50000
2025 Federal Election,Keldoulis Investments Pty Limited,"HOOK, Kathleen Louise",23/12/2024,50000
2025 Federal Election,Keldoulis Investments Pty Limited,"LEONARD, Deborah Louise",23/12/2024,50000
2025 Federal Election,Keldoulis Investments Pty Limited,"MURRAY-BARTLETT, Erchana",23/12/2024,50000
2025 Federal Election,Keldoulis Investments Pty Limited,"SMITH, Benjamin John",23/12/2024,50000
2025 Federal Election,Keldoulis Investments Pty Limited,"DEZARNAULDS, Katherine Louise",18/02/2025,20000
2025 Federal Election,Keldoulis Investments Pty Limited,"CHANEY, Katherine Ella",1/03/2025,50000
2025 Federal Election,Keldoulis Investments Pty Limited,"SCAMPS, Sophie Anna",1/03/2025,100000
2025 Federal Election,Keldoulis Investments Pty Limited,"SMITH, Eleanor",1/03/2025,50000
2025 Federal Election,Keldoulis Investments Pty Limited,"DANIEL, Zoe",3/03/2025,40000
2025 Federal Election,Keldoulis Investments Pty Limited,"MURRAY-BARTLETT, Erchana",3/03/2025,25000
2025 Federal Election,Keldoulis Investments Pty Limited,"SMITH, Eleanor",3/03/2025,50000
2025 Federal Election,Keldoulis Investments Pty Limited,"MURRAY-BARTLETT, Erchana",4/03/2025,25000
2025 Federal Election,Keldoulis Investments Pty Limited,"GEORGE, Peter Antony",5/03/2025,50000
2025 Federal Election,Keldoulis Investments Pty Limited,"HEISE, Carolyn Gai",17/03/2025,20000
2025 Federal Election,Keldoulis Investments Pty Limited,"DANIEL, Zoe",18/03/2025,60000
2025 Federal Election,Keldoulis Investments Pty Limited,"HAINES, Helen Mary",26/03/2025,30000
2025 Federal Election,Keldoulis Investments Pty Limited,"DYSON, Alexander Edward",27/03/2025,181726
2025 Federal Election,Keldoulis Investments Pty Limited,"HOLT, Suzanne Jan",27/03/2025,55000
2025 Federal Election,Keldoulis Investments Pty Limited,"HOOK, Kathleen Louise",27/03/2025,55000
2025 Federal Election,Keldoulis Investments Pty Limited,"JONES, Keryn Louise",27/03/2025,55000
2025 Federal Election,Keldoulis Investments Pty Limited,"KUSS, Anita",27/03/2025,81806
2025 Federal Election,Keldoulis Investments Pty Limited,"LEONARD, Deborah Louise",27/03/2025,97400
2025 Federal Election,Keldoulis Investments Pty Limited,"MILLER, Jeremy John",27/03/2025,77000
2025 Federal Election,Keldoulis Investments Pty Limited,"WIIG, Francine Clare",27/03/2025,52380
2025 Federal Election,Keldoulis Investments Pty Limited,"DEZARNAULDS, Katherine Louise",4/04/2025,20000
2025 Federal Election,Keldoulis Investments Pty Limited,"MURRAY-BARTLETT, Erchana",4/04/2025,75000
2025 Federal Election,Keldoulis Investments Pty Limited,"BROWN, Tina",16/05/2025,28800
2025 Federal Election,Keldoulis Investments Pty Limited,"CHANEY, Katherine Ella",16/05/2025,27170
2025 Federal Election,Keldoulis Investments Pty Limited,"CHAPMAN, Susan Margaret",16/05/2025,68468
2025 Federal Election,Keldoulis Investments Pty Limited,"DANIEL, Zoe",16/05/2025,16302
2025 Federal Election,Keldoulis Investments Pty Limited,"DYSON, Alexander Edward",16/05/2025,122808
2025 Federal Election,Keldoulis Investments Pty Limited,"HAINES, Helen Mary",16/05/2025,27170
2025 Federal Election,Keldoulis Investments Pty Limited,"HEISE, Carolyn Gai",16/05/2025,101072
2025 Federal Election,Keldoulis Investments Pty Limited,"HOOK, Kathleen Louise",16/05/2025,39668
2025 Federal Election,Keldoulis Investments Pty Limited,"JONES, Keryn Louise",16/05/2025,6521
2025 Federal Election,Keldoulis Investments Pty Limited,"KUSS, Anita",16/05/2025,21736
2025 Federal Election,Keldoulis Investments Pty Limited,"LEONARD, Deborah Louise",16/05/2025,104876
2025 Federal Election,Keldoulis Investments Pty Limited,"MILLER, Jeremy John",16/05/2025,19562
2025 Federal Election,Keldoulis Investments Pty Limited,"RYAN, Monique Marie",16/05/2025,35864
2025 Federal Election,Keldoulis Investments Pty Limited,"SCAMPS, Sophie Anna",16/05/2025,10868
2025 Federal Election,Keldoulis Investments Pty Limited,"SMITH, Benjamin John",16/05/2025,110854
2025 Federal Election,Keldoulis Investments Pty Limited,"WIIG, Francine Clare",16/05/2025,6521
2025 Federal Election,"Keldoulis, Robert","JONES, Keryn Louise",10/04/2025,50000
2025 Federal Election,"Keldoulis, Robert","LEONARD, Deborah Louise",10/04/2025,35000
2025 Federal Election,"Keldoulis, Robert","SMITH, Benjamin John",10/04/2025,30000
2025 Federal Election,"Keldoulis, Robert","DANIEL, Zoe",11/04/2025,80000
2025 Federal Election,"Keldoulis, Robert","HOOK, Kathleen Louise",11/04/2025,130000
2025 Federal Election,"Keldoulis, Robert","HULETT, Kate Jane",11/04/2025,50000
2025 Federal Election,"Keldoulis, Robert","KUSS, Anita",12/04/2025,100000
2025 Federal Election,"Keldoulis, Robert","MILLER, Jeremy John",12/04/2025,150000
2025 Federal Election,"Keldoulis, Robert","SCAMPS, Sophie Anna",13/04/2025,80000
2025 Federal Election,"Kierce, Adam","RYAN, Monique Marie",2/03/2025,25000
2025 Federal Election,"Krups, Matthias","STEGGALL, Zali",13/11/2024,5000
2025 Federal Election,"Krups, Matthias","STEGGALL, Zali",13/02/2025,5000
2025 Federal Election,"Krups, Matthias","SCAMPS, Sophie Anna",14/02/2025,1045
2025 Federal Election,"Krups, Matthias","SCAMPS, Sophie Anna",15/02/2025,1045
2025 Federal Election,"Krups, Matthias","STEGGALL, Zali",21/02/2025,25000
2025 Federal Election,"Krups, Matthias","SCAMPS, Sophie Anna",4/03/2025,25000
2025 Federal Election,"Krups, Matthias","SCAMPS, Sophie Anna",15/03/2025,1045
2025 Federal Election,"Krups, Matthias","SCAMPS, Sophie Anna",15/04/2025,1045
2025 Federal Election,"Krups, Matthias","SCAMPS, Sophie Anna",15/05/2025,1045
2025 Federal Election,"Landy, Sharon","DANIEL, Zoe",7/04/2025,20000
2025 Federal Election,"Leonard, Jennifer","LEONARD, Deborah Louise",7/01/2024,10
2025 Federal Election,"Leonard, Jennifer","LEONARD, Deborah Louise",1/08/2024,5000
2025 Federal Election,"Leonard, Jennifer","LEONARD, Deborah Louise",4/09/2024,51
2025 Federal Election,"Leonard, Jennifer","LEONARD, Deborah Louise",23/09/2024,10
2025 Federal Election,"Leonard, Jennifer","LEONARD, Deborah Louise",24/09/2024,10
2025 Federal Election,"Leonard, Jennifer","LEONARD, Deborah Louise",10/10/2024,5000
2025 Federal Election,"Leonard, Jennifer","LEONARD, Deborah Louise",30/10/2024,25000
2025 Federal Election,"Leonard, Jennifer","LEONARD, Deborah Louise",16/12/2024,10
2025 Federal Election,"Leonard, Tony","LEONARD, Deborah Louise",2/08/2024,5000
2025 Federal Election,"Leonard, Tony","LEONARD, Deborah Louise",10/10/2024,5000
2025 Federal Election,"Leonard, Tony","LEONARD, Deborah Louise",31/10/2024,20000
2025 Federal Election,"Leonard, Tony","LEONARD, Deborah Louise",1/11/2024,20000
2025 Federal Election,"Malone, Sabrina","HOLT, Suzanne Jan",20/02/2025,50000
2025 Federal Election,"Manos, William","SPENDER, Allegra May",11/03/2025,50000
2025 Federal Election,"MICHAEL, Rob","RYAN, Monique Marie",4/11/2024,10000
2025 Federal Election,"MICHAEL, Rob","RYAN, Monique Marie",11/12/2024,15000
2025 Federal Election,"Mills, Julie A","SCAMPS, Sophie Anna",16/07/2024,5000
2025 Federal Election,"Mills, Julie A","SCAMPS, Sophie Anna",1/10/2024,5000
2025 Federal Election,"Mills, Julie A","SCAMPS, Sophie Anna",5/02/2025,5000
2025 Federal Election,"Mills, Julie A","SCAMPS, Sophie Anna",18/04/2025,5000
2025 Federal Election,"Moth, Jacqueline","RYAN, Monique Marie",24/07/2024,3500
2025 Federal Election,"Moth, Jacqueline","RYAN, Monique Marie",13/09/2024,2000
2025 Federal Election,"Moth, Jacqueline","RYAN, Monique Marie",21/10/2024,1500
2025 Federal Election,"Moth, Jacqueline","RYAN, Monique Marie",10/01/2025,5000
2025 Federal Election,"Moth, Jacqueline","RYAN, Monique Marie",28/03/2025,6000
2025 Federal Election,New Regime Pty Ltd,"HULETT, Kate Jane",27/03/2025,100000
2025 Federal Election,New Regime Pty Ltd,"HULETT, Kate Jane",21/04/2025,30000
2025 Federal Election,New Regime Pty Ltd,"HULETT, Kate Jane",30/04/2025,5000
2025 Federal Election,Pater Investments Pty Ltd,"CHAPMAN, Susan Margaret",15/01/2024,10000
2025 Federal Election,Pater Investments Pty Ltd,"CHAPMAN, Susan Margaret",1/12/2024,10000
2025 Federal Election,Pater Investments Pty Ltd,"CHAPMAN, Susan Margaret",2/02/2025,10000
2025 Federal Election,Pater Investments Pty Ltd,"CHAPMAN, Susan Margaret",14/02/2025,100000
2025 Federal Election,"Pater, Norman","GEORGE, Peter Antony",15/03/2025,100000
2025 Federal Election,Playcorp Group of Companies Pty Ltd,"KOUTOUFIDES, Anthony",21/03/2025,50000
2025 Federal Election,Polka Dot Ventures Pty Ltd,"LE, Dai Trang",5/03/2025,25000
2025 Federal Election,Polka Dot Ventures Pty Ltd,"LE, Dai Trang",30/04/2025,25000
2025 Federal Election,"Purves, Robert","SCAMPS, Sophie Anna",19/02/2025,35000
2025 Federal Election,"Purves, Robert","STEGGALL, Zali",19/02/2025,50000
2025 Federal Election,RACAT Group Pty Limited,"SPENDER, Allegra May",20/02/2025,50000
2025 Federal Election,"Reed, Tim","SPENDER, Allegra May",1/04/2025,12500
2025 Federal Election,"Reed, Tim","STEGGALL, Zali",1/04/2025,25000
2025 Federal Election,"Reed, Tim","SPENDER, Allegra May",2/04/2025,12500
2025 Federal Election,"Reed, Tim","SPENDER, Allegra May",3/04/2025,12500
2025 Federal Election,"Reed, Tim","SPENDER, Allegra May",4/04/2025,12500
2025 Federal Election,"Refshauge, Kathryn","SPENDER, Allegra May",8/11/2024,10000
2025 Federal Election,"Refshauge, Kathryn","SPENDER, Allegra May",21/02/2025,10000
2025 Federal Election,Regional Voices Fund Pty Ltd,"CHAPMAN, Susan Margaret",19/12/2024,20000
2025 Federal Election,Regional Voices Fund Pty Ltd,"DYSON, Alexander Edward",19/12/2024,20000
2025 Federal Election,Regional Voices Fund Pty Ltd,"FERRES MILES, Claire Jennifer",19/12/2024,20000
2025 Federal Election,Regional Voices Fund Pty Ltd,"HOOK, Kathleen Louise",19/12/2024,20000
2025 Federal Election,Regional Voices Fund Pty Ltd,"HOLT, Suzanne Jan",20/12/2024,20000
2025 Federal Election,Regional Voices Fund Pty Ltd,"LEONARD, Deborah Louise",24/12/2024,30000
2025 Federal Election,Regional Voices Fund Pty Ltd,"MILTHORPE, Michelle Marie",24/12/2024,30000
2025 Federal Election,Regional Voices Fund Pty Ltd,"HAINES, Helen Mary",6/01/2025,30000
2025 Federal Election,Regional Voices Fund Pty Ltd,"KUSS, Anita",29/01/2025,30000
2025 Federal Election,Regional Voices Fund Pty Ltd,"MILLER, Jeremy John",29/01/2025,30000
2025 Federal Election,Regional Voices Fund Pty Ltd,"ROLFE, Jenny Lee",29/01/2025,20000
2025 Federal Election,Regional Voices Fund Pty Ltd,"SMITH, Benjamin John",29/01/2025,30000
2025 Federal Election,Regional Voices Fund Pty Ltd,"CHAPMAN, Susan Margaret",11/04/2025,15000
2025 Federal Election,Regional Voices Fund Pty Ltd,"HAINES, Helen Mary",11/04/2025,15000
2025 Federal Election,Regional Voices Fund Pty Ltd,"HOOK, Kathleen Louise",11/04/2025,15000
2025 Federal Election,Regional Voices Fund Pty Ltd,"KUSS, Anita",11/04/2025,15000
2025 Federal Election,Regional Voices Fund Pty Ltd,"LEONARD, Deborah Louise",11/04/2025,10000
2025 Federal Election,Regional Voices Fund Pty Ltd,"SMITH, Benjamin John",11/04/2025,15000
2025 Federal Election,Regional Voices Fund Pty Ltd,"CHAPMAN, Susan Margaret",17/04/2025,10000
2025 Federal Election,Regional Voices Fund Pty Ltd,"FERRES MILES, Claire Jennifer",17/04/2025,5000
2025 Federal Election,Regional Voices Fund Pty Ltd,"HAINES, Helen Mary",17/04/2025,10000
2025 Federal Election,Regional Voices Fund Pty Ltd,"HOLT, Suzanne Jan",17/04/2025,10000
2025 Federal Election,Regional Voices Fund Pty Ltd,"HOOK, Kathleen Louise",17/04/2025,5000
2025 Federal Election,Regional Voices Fund Pty Ltd,"MILLER, Jeremy John",17/04/2025,10000
2025 Federal Election,Regional Voices Fund Pty Ltd,"SMITH, Benjamin John",17/04/2025,10000
2025 Federal Election,Regional Voices Fund Pty Ltd,"KUSS, Anita",24/04/2025,5000
2025 Federal Election,"Saunders, Katharine","STEGGALL, Zali",17/11/2024,10000
2025 Federal Election,"Saunders, Katharine","STEGGALL, Zali",14/02/2025,10000
2025 Federal Election,"Simpson, Andrew","RYAN, Monique Marie",18/11/2024,10000
2025 Federal Election,"Simpson, Andrew","RYAN, Monique Marie",21/03/2025,12000
2025 Federal Election,"Simpson, Andrew","RYAN, Monique Marie",26/04/2025,1500
2025 Federal Election,"Skrzynski, Joseph","SPENDER, Allegra May",4/12/2024,25000
2025 Federal Election,"Snape, Brian","RYAN, Monique Marie",14/11/2024,20000
2025 Federal Election,"Snape, Brian","RYAN, Monique Marie",15/11/2024,20000
2025 Federal Election,"Snape, Brian","RYAN, Monique Marie",16/11/2024,10000
2025 Federal Election,"Snape, Brian","RYAN, Monique Marie",24/03/2025,3000
2025 Federal Election,"Snape, Brian","RYAN, Monique Marie",9/04/2025,5000
2025 Federal Election,"Spiller, Greg","LEONARD, Deborah Louise",15/11/2024,25000
2025 Federal Election,"Stephen Moir, Carolyn Loton and","HEISE, Carolyn Gai",7/12/2024,20000
2025 Federal Election,"Stewart, Andrew David","JONES, Keryn Louise",30/01/2025,950
2025 Federal Election,"Stewart, Andrew David","JONES, Keryn Louise",4/02/2025,20000
2025 Federal Election,"Stewart, Andrew David","JONES, Keryn Louise",27/02/2025,9900
2025 Federal Election,The Good Party,"PARKER, Elsa Rose Binti",5/05/2025,5926
2025 Federal Election,The Good Party,"PARKER, Elsa Rose Binti",5/05/2025,456
2025 Federal Election,The Good Party,"PARKER, Elsa Rose Binti",5/05/2025,1678
2025 Federal Election,The Good Party,"PARKER, Elsa Rose Binti",5/05/2025,17937
2025 Federal Election,"Turnbull, Alexander","SPENDER, Allegra May",27/02/2025,25000
2025 Federal Election,"Tyler, Hilary","KENNY, Quinton",2/04/2025,10000
2025 Federal Election,"Tyler, Hilary","KENNY, Quinton",9/04/2025,10000
2025 Federal Election,"Tyler, Hilary","KENNY, Quinton",25/04/2025,5000
2025 Federal Election,VIDA IMPACT FUND PTY LTD,"HEISE, Carolyn Gai",18/02/2025,10200
2025 Federal Election,VIDA IMPACT FUND PTY LTD,"LEONARD, Deborah Louise",18/02/2025,10000
2025 Federal Election,VIDA IMPACT FUND PTY LTD,"SCAMPS, Sophie Anna",19/02/2025,10140
2025 Federal Election,VIDA IMPACT FUND PTY LTD,"BOELE, Nicolette",21/02/2025,10140
2025 Federal Election,VIDA IMPACT FUND PTY LTD,"BOELE, Nicolette",26/02/2025,2535
2025 Federal Election,VIDA IMPACT FUND PTY LTD,"HEISE, Carolyn Gai",26/02/2025,2535
2025 Federal Election,VIDA IMPACT FUND PTY LTD,"LEONARD, Deborah Louise",26/02/2025,2535
2025 Federal Election,VIDA IMPACT FUND PTY LTD,"SCAMPS, Sophie Anna",26/02/2025,2535
2025 Federal Election,VIDA IMPACT FUND PTY LTD,"MURRAY-BARTLETT, Erchana",28/02/2025,5000
2025 Federal Election,VIDA IMPACT FUND PTY LTD,"CHANEY, Katherine Ella",10/03/2025,5000
2025 Federal Election,VIDA IMPACT FUND PTY LTD,"DANIEL, Zoe",11/03/2025,5000
2025 Federal Election,VIDA IMPACT FUND PTY LTD,"BOELE, Nicolette",13/03/2025,1173
2025 Federal Election,VIDA IMPACT FUND PTY LTD,"CHANEY, Katherine Ella",13/03/2025,1114
2025 Federal Election,VIDA IMPACT FUND PTY LTD,"DANIEL, Zoe",13/03/2025,1113
2025 Federal Election,VIDA IMPACT FUND PTY LTD,"HEISE, Carolyn Gai",13/03/2025,1113
2025 Federal Election,VIDA IMPACT FUND PTY LTD,"LEONARD, Deborah Louise",13/03/2025,1314
2025 Federal Election,VIDA IMPACT FUND PTY LTD,"MURRAY-BARTLETT, Erchana",13/03/2025,1113
2025 Federal Election,VIDA IMPACT FUND PTY LTD,"SCAMPS, Sophie Anna",13/03/2025,3000
2025 Federal Election,VIDA IMPACT FUND PTY LTD,"SCAMPS, Sophie Anna",13/03/2025,60
2025 Federal Election,VIDA IMPACT FUND PTY LTD,"CHANEY, Katherine Ella",25/03/2025,7500
2025 Federal Election,VIDA IMPACT FUND PTY LTD,"DANIEL, Zoe",25/03/2025,7500
2025 Federal Election,VIDA IMPACT FUND PTY LTD,"CHAPMAN, Susan Margaret",26/03/2025,9899
2025 Federal Election,VIDA IMPACT FUND PTY LTD,"MURRAY-BARTLETT, Erchana",26/03/2025,3786
2025 Federal Election,VIDA IMPACT FUND PTY LTD,"SMITH, Eleanor",31/03/2025,10000
2025 Federal Election,VIDA IMPACT FUND PTY LTD,"CHANEY, Katherine Ella",2/04/2025,18500
2025 Federal Election,VIDA IMPACT FUND PTY LTD,"DANIEL, Zoe",2/04/2025,18500
2025 Federal Election,VIDA IMPACT FUND PTY LTD,"HEISE, Carolyn Gai",3/04/2025,14000
2025 Federal Election,VIDA IMPACT FUND PTY LTD,"LEONARD, Deborah Louise",3/04/2025,14000
2025 Federal Election,VIDA IMPACT FUND PTY LTD,"CHANEY, Katherine Ella",4/04/2025,22886
2025 Federal Election,VIDA IMPACT FUND PTY LTD,"DANIEL, Zoe",4/04/2025,22887
2025 Federal Election,VIDA IMPACT FUND PTY LTD,"HAINES, Helen Mary",4/04/2025,4226
2025 Federal Election,VIDA IMPACT FUND PTY LTD,"RYAN, Monique Marie",5/04/2025,20000
2025 Federal Election,VIDA IMPACT FUND PTY LTD,"HAINES, Helen Mary",7/04/2025,12000
2025 Federal Election,VIDA IMPACT FUND PTY LTD,"CHAPMAN, Susan Margaret",10/04/2025,7151
2025 Federal Election,VIDA IMPACT FUND PTY LTD,"HAINES, Helen Mary",10/04/2025,13774
2025 Federal Election,VIDA IMPACT FUND PTY LTD,"MURRAY-BARTLETT, Erchana",10/04/2025,4401
2025 Federal Election,VIDA IMPACT FUND PTY LTD,"CHAPMAN, Susan Margaret",14/04/2025,12950
2025 Federal Election,VIDA IMPACT FUND PTY LTD,"HEISE, Carolyn Gai",14/04/2025,2152
2025 Federal Election,VIDA IMPACT FUND PTY LTD,"LEONARD, Deborah Louise",14/04/2025,2151
2025 Federal Election,VIDA IMPACT FUND PTY LTD,"SMITH, Eleanor",14/04/2025,8000
2025 Federal Election,VIDA IMPACT FUND PTY LTD,"JONES, Keryn Louise",15/04/2025,18000
2025 Federal Election,VIDA IMPACT FUND PTY LTD,"BOELE, Nicolette",16/04/2025,6152
2025 Federal Election,VIDA IMPACT FUND PTY LTD,"CHANEY, Katherine Ella",16/04/2025,10000
2025 Federal Election,VIDA IMPACT FUND PTY LTD,"HEISE, Carolyn Gai",16/04/2025,3000
2025 Federal Election,VIDA IMPACT FUND PTY LTD,"HAINES, Helen Mary",24/04/2025,10000
2025 Federal Election,VIDA IMPACT FUND PTY LTD,"HAINES, Helen Mary",24/04/2025,2000
2025 Federal Election,VIDA IMPACT FUND PTY LTD,"CHAPMAN, Susan Margaret",30/04/2025,1011
2025 Federal Election,VIDA IMPACT FUND PTY LTD,"DANIEL, Zoe",30/04/2025,5000
2025 Federal Election,VIDA IMPACT FUND PTY LTD,"HEISE, Carolyn Gai",30/04/2025,1000
2025 Federal Election,VIDA IMPACT FUND PTY LTD,"MURRAY-BARTLETT, Erchana",30/04/2025,3700
2025 Federal Election,VIDA IMPACT FUND PTY LTD,"SCAMPS, Sophie Anna",30/04/2025,4265
2025 Federal Election,VIDA IMPACT FUND PTY LTD,"HEISE, Carolyn Gai",2/05/2025,506
2025 Federal Election,Voices of Bean Incorporated,"PRICE, Jessie Ann",17/12/2024,18659
2025 Federal Election,"Ward-Ambler, Ian","DANIEL, Zoe",12/03/2025,20000
2025 Federal Election,"Whittingham, Mathew","BROWN, Tina",10/04/2025,50000
2025 Federal Election,"Whittingham, Mathew","BROWN, Tina",26/04/2025,20000
2025 Federal Election,William Taylor Nominees Pty Ltd,"SPENDER, Allegra May",19/08/2024,200000
2025 Federal Election,"Woollard, Frederick","BOELE, Nicolette",3/12/2024,50000
2025 Federal Election,"Woollard, Frederick","BOELE, Nicolette",28/03/2025,25000
2025 Federal Election,Wycombe Services Pty Ltd,"CHANEY, Katherine Ella",5/03/2025,50000