group,person,title,start_date,end_date
Turnbull Ministry,Andrew Robb,Minister for Trade and Investment,15/9/2015,19/7/2016
Turnbull Ministry,Barnaby Joyce,Deputy Prime Minister,11/2/2016,27/10/2017
Turnbull Ministry,Christian Porter,Minister for Social Services,15/9/2015,19/7/2016
Turnbull Ministry,Christian Porter,Attorney-General,19/7/2016,24/8/2018
Turnbull Ministry,Christopher Pyne,Minister for Industry, Innovation and Science,15/9/2015,19/7/2016
Turnbull Ministry,Christopher Pyne,Minister for Defence Industry,19/7/2016,24/8/2018
Turnbull Ministry,Dan Tehan,Minister for Social Services,19/7/2016,24/8/2018
Turnbull Ministry,Darren Chester,Minister for Veterans' Affairs,19/7/2016,24/8/2018
Turnbull Ministry,David Littleproud,Minister for Agriculture and Water Resources,19/7/2016,24/8/2018
Turnbull Ministry,Greg Hunt,Minister for the Environment,15/9/2015,19/7/2016
Turnbull Ministry,Greg Hunt,Minister for Health,19/7/2016,24/8/2018
Turnbull Ministry,John McVeigh,Minister for Regional Development, Territories and Local Government,19/7/2016,24/8/2018
Turnbull Ministry,Josh Frydenberg,Minister for Resources, Energy and Northern Australia,15/9/2015,19/7/2016
Turnbull Ministry,Josh Frydenberg,Minister for the Environment and Energy,19/7/2016,24/8/2018
Turnbull Ministry,Julie Bishop,Minister for Foreign Affairs,15/9/2015,24/8/2018
Turnbull Ministry,Kelly O'Dwyer,Minister for Small Business,15/9/2015,19/7/2016
Turnbull Ministry,Kelly O'Dwyer,Minister for Revenue and Financial Services,19/7/2016,24/8/2018
Turnbull Ministry,Malcolm Turnbull,Prime Minister,15/9/2015,24/8/2018
Turnbull Ministry,Michael Keenan,Minister for Human Services,19/7/2016,24/8/2018
Turnbull Ministry,Michael McCormack,Deputy Prime Minister,19/7/2016,24/8/2018
Turnbull Ministry,Peter Dutton,Minister for Immigration and Border Protection,15/9/2015,19/7/2016
Turnbull Ministry,Scott Morrison,Treasurer,15/9/2015,19/7/2016
Turnbull Ministry,Arthur Sinodinos,Cabinet Secretary,15/9/2015,19/7/2016
Turnbull Ministry,Bridget McKenzie,Minister for Sport,19/7/2016,24/8/2018
Turnbull Ministry,George Brandis,Attorney-General,15/9/2015,19/7/2016
Turnbull Ministry,Marise Payne,Minister for Defence,15/9/2015,24/8/2018
Turnbull Ministry,Mathias Cormann,Minister for Finance,15/9/2015,24/8/2018
Turnbull Ministry,Matt Canavan,Minister for Resources and Northern Australia,19/7/2016,25/7/2017
Turnbull Ministry,Michaelia Cash,Minister for Employment,15/9/2015,19/7/2016
Turnbull Ministry,Michaelia Cash,Minister for Jobs and Innovation,19/7/2016,24/8/2018
Turnbull Ministry,Mitch Fifield,Minister for Communications,15/9/2015,24/8/2018
Turnbull Ministry,Nigel Scullion,Minister for Indigenous Affairs,15/9/2015,24/8/2018
Turnbull Ministry,Simon Birmingham,Minister for Education and Training,15/9/2015,24/8/2018
Turnbull Ministry,Steven Ciobo,Minister for Trade, Tourism and Investment,19/7/2016,24/8/2018
Turnbull Ministry,Sussan Ley,Minister for Health and Aged Care,15/9/2015,13/1/2017
Turnbull Ministry,Warren Truss,Deputy Prime Minister,15/9/2015,11/2/2016